sku,component_id,component_name,component_cost
LAP1028,C006,Cooling Fan,2750
LAP1017,C005,Keyboard,2700
LAP1026,C005,Keyboard,2700
LAP1030,C006,Cooling Fan,2700
LAP1002,C005,Keyboard,2625
LAP1005,C005,Keyboard,2625
LAP1008,C005,Keyboard,2625
LAP1014,C006,Cooling Fan,2600
LAP1022,C005,Keyboard,2600
LAP1001,C005,Keyboard,2500
LAP1004,C005,Keyboard,2500
LAP1007,C005,Keyboard,2500
LAP1010,C005,Keyboard,2500
LAP1013,C005,Keyboard,2500
LAP1016,C006,Cooling Fan,2500
LAP1012,C006,Cooling Fan,2400
LAP1023,C006,Cooling Fan,2400
LAP1003,C005,Keyboard,2375
LAP1006,C005,Keyboard,2375
LAP1009,C005,Keyboard,2375
LAP1019,C005,Keyboard,2300
LAP1024,C006,Cooling Fan,2250
LAP1011,C006,Cooling Fan,2200
LAP1015,C005,Keyboard,2200
LAP1025,C005,Keyboard,2200
LAP1027,C006,Cooling Fan,2150
LAP1018,C006,Cooling Fan,2100
LAP1021,C005,Keyboard,2100
LAP1017,C006,Cooling Fan,2000
LAP1026,C006,Cooling Fan,2000
LAP1029,C005,Keyboard,2000
LAP1022,C006,Cooling Fan,1950
LAP1013,C006,Cooling Fan,1900
LAP1002,C006,Cooling Fan,1890
LAP1005,C006,Cooling Fan,1890
LAP1008,C006,Cooling Fan,1890
LAP1001,C006,Cooling Fan,1800
LAP1004,C006,Cooling Fan,1800
LAP1007,C006,Cooling Fan,1800
LAP1010,C006,Cooling Fan,1800
LAP1019,C006,Cooling Fan,1750
LAP1003,C006,Cooling Fan,1710
LAP1006,C006,Cooling Fan,1710
LAP1009,C006,Cooling Fan,1710
LAP1015,C006,Cooling Fan,1700
LAP1025,C006,Cooling Fan,1700
LAP1021,C006,Cooling Fan,1600
LAP1029,C006,Cooling Fan,1500
